,전용면적(㎡),계약일,거래금액(만원),층,건축년도,구,동,평,계약년,계약월,한강,건물나이,재건축,단지명
271130,4.969125563,20,11.77529742,3.63758616,2014,22,288,3.875359021,2015,3,0,1,0,용산더프라임
271134,4.042858267,21,10.8561295,2.197224577,2014,22,288,2.970414466,2015,4,0,1,0,용산더프라임
271135,3.984734288,26,10.73641841,2.302585093,2014,22,288,2.912350665,2015,5,0,1,0,용산더프라임
271136,4.087353515,2,10.87806606,2.302585093,2014,22,288,3.010620886,2015,6,0,1,0,용산더프라임
271138,4.031138486,11,10.87806606,2.079441542,2014,22,288,2.960105096,2015,6,0,1,0,용산더프라임
271143,3.460723361,15,9.903537551,2.079441542,1971,22,40,2.415913778,2015,1,0,44,0.6931471806,금성
271188,4.369700985,24,10.88745562,2.564949357,1977,22,260,3.284663565,2014,12,0,37,0.6931471806,산호
271195,3.831246695,1,10.31728452,1.791759469,1977,22,260,2.766319109,2015,3,0,38,0.6931471806,산호
271223,4.220095768,20,10.40429314,2.079441542,1971,22,260,3.139832618,2015,3,0,44,0.6931471806,풍전
271224,4.35105183,3,10.54273278,2.197224577,1971,22,260,3.269568939,2015,4,0,44,0.6931471806,풍전
271268,4.087319947,3,10.46313191,2.197224577,1971,22,311,3.010620886,2014,12,0.6931471806,43,0.6931471806,강변
271269,4.101651137,6,10.47731614,1.791759469,1971,22,311,3.025291076,2015,2,0.6931471806,44,0.6931471806,강변
271270,4.180980869,13,10.46313191,1.945910149,1971,22,311,3.104586678,2015,3,0.6931471806,44,0.6931471806,강변
271271,4.173309767,30,10.46313191,1.945910149,1971,22,311,3.095577609,2015,4,0.6931471806,44,0.6931471806,강변
271419,3.907211448,8,10.51870022,2.772588722,1999,22,311,2.839078464,2015,4,0.6931471806,16,0,동아그린
271450,4.828473725,30,12.08902746,3.218875825,2015,22,311,3.735285827,2015,7,0.6931471806,0,0,래미안첼리투스아파트
271459,5.066322256,11,11.18443529,1.791759469,1972,22,311,3.970291914,2015,7,0.6931471806,43,0.6931471806,로얄맨숀
271461,5.024406698,15,10.98530967,2.302585093,1970,22,311,3.929862924,2014,11,0.6931471806,44,0.6931471806,리버뷰
271462,4.918300683,14,11.03490579,2.397895273,1970,22,311,3.824284091,2015,1,0.6931471806,45,0.6931471806,리버뷰
271465,5.290587568,27,11.69525536,2.63905733,1977,22,311,4.192680463,2014,11,0.6931471806,37,0.6931471806,반도
