경기번호,팀명,홈_어웨이
214,현대건설,1
215,GS칼텍스,0
215,흥국생명,1
216,IBK기업은행,1
216,현대건설,0
217,GS칼텍스,1
217,한국도로공사,0
218,KGC인삼공사,0
218,흥국생명,1
219,IBK기업은행,0
219,한국도로공사,1
220,GS칼텍스,1
220,KGC인삼공사,0
221,한국도로공사,0
221,흥국생명,1
222,IBK기업은행,0
222,KGC인삼공사,1
223,GS칼텍스,0
223,현대건설,1
224,KGC인삼공사,1
224,흥국생명,0
225,한국도로공사,0
225,현대건설,1
226,IBK기업은행,1
226,KGC인삼공사,0
227,GS칼텍스,1
227,한국도로공사,0
228,현대건설,0
228,흥국생명,1
229,IBK기업은행,1
229,한국도로공사,0
230,GS칼텍스,1
230,흥국생명,0
231,IBK기업은행,0
231,현대건설,1
232,GS칼텍스,0
232,KGC인삼공사,1
233,한국도로공사,1
233,흥국생명,0
234,GS칼텍스,0
234,IBK기업은행,1
235,KGC인삼공사,1
235,현대건설,0
236,IBK기업은행,1
236,흥국생명,0
237,KGC인삼공사,0
237,한국도로공사,1
238,GS칼텍스,0
238,현대건설,1
239,IBK기업은행,0
239,흥국생명,1
240,KGC인삼공사,1
240,한국도로공사,0
241,GS칼텍스,1
241,현대건설,0
242,한국도로공사,1
242,흥국생명,0
243,IBK기업은행,1
243,현대건설,0
244,GS칼텍스,0
244,흥국생명,1
245,IBK기업은행,0
245,한국도로공사,1
246,KGC인삼공사,0
246,현대건설,1
247,GS칼텍스,1
247,한국도로공사,0
248,IBK기업은행,0
248,KGC인삼공사,1
249,현대건설,1
249,흥국생명,0
250,GS칼텍스,1
250,KGC인삼공사,0
251,한국도로공사,0
251,현대건설,1
252,KGC인삼공사,0
252,흥국생명,1
253,GS칼텍스,1
253,IBK기업은행,0
254,현대건설,0
254,흥국생명,1
255,GS칼텍스,0
255,IBK기업은행,1
256,KGC인삼공사,0
256,한국도로공사,1
257,IBK기업은행,1
257,흥국생명,0
258,GS칼텍스,0
258,KGC인삼공사,1
259,한국도로공사,0
259,현대건설,1
260,IBK기업은행,1
260,KGC인삼공사,0
261,GS칼텍스,1
261,흥국생명,0
262,KGC인삼공사,0
262,현대건설,1
263,한국도로공사,0
263,흥국생명,1
264,IBK기업은행,0
264,현대건설,1
265,GS칼텍스,0
265,한국도로공사,1
266,KGC인삼공사,0
266,흥국생명,1
267,IBK기업은행,1
267,한국도로공사,0
268,GS칼텍스,1
268,현대건설,0
269,IBK기업은행,0
269,KGC인삼공사,1
270,현대건설,1
270,흥국생명,0
271,GS칼텍스,0
271,한국도로공사,1
272,IBK기업은행,0
272,흥국생명,1
273,GS칼텍스,0
273,현대건설,1
274,GS칼텍스,0
274,현대건설,1
275,IBK기업은행,0
275,KGC인삼공사,1
