경기번호,경기날짜,팀명,홈_어웨이,결과,No.,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,팀코드,상대팀
78,2018-02-20,GS칼텍스,1,1,140,89,181,74,13,7,226.49,99.99,79,32,10,4,143.76999999999998,100.01,6,6,0,0,200.0,100.0,1,0,0,0,0.0,100.0,36,13,2,2,75.47999999999999,100.0,19,7,0,0,105.0,100.0,40,16,1,1,114.03,100.0,108,5,10,1.4,99.99,134,108,26,0,22.4,100.01,192,74,1,18.15,100.0,99,49,3,148.53,99.99,87,10,35,25,1,2.0,100.01,8,0,19,0,현대건설
78,2018-02-20,현대건설,0,0,128,86,194,70,10,11,233.09,100.0,99,27,6,5,199.25,99.99,28,13,2,2,147.62,100.0,2,0,0,0,0.0,100.0,15,6,0,2,88.46000000000001,100.0,15,8,1,1,61.54,100.0,35,16,1,1,179.28,100.0,106,3,7,0.6000000000000001,99.99,135,106,29,0,22.55,100.01,186,63,1,13.45,100.01,98,45,5,179.93,100.01,93,13,36,32,1,2.73,100.01,11,0,20,5,GS칼텍스
79,2018-02-21,IBK기업은행,0,0,136,79,174,64,9,12,276.88,99.99,88,34,5,5,207.06,100.01,12,5,0,1,140.0,99.99,7,4,1,0,125.0,100.0,40,11,2,4,45.83,100.0,4,2,0,0,200.0,100.0,23,8,1,2,130.0,100.0,102,2,8,0.4,100.01,115,101,13,1,23.23,100.0,183,62,2,13.4,100.0,100,32,7,217.08,100.0,84,13,34,22,1,3.13,100.0,10,0,24,3,흥국생명
79,2018-02-21,흥국생명,1,1,135,84,192,68,13,13,198.09,100.0,110,37,6,7,152.12,100.01,7,4,1,0,110.0,100.0,2,1,1,0,50.0,100.0,21,4,2,2,42.86,100.0,9,5,0,2,100.0,100.0,43,17,3,2,153.12,100.0,108,7,8,1.4,100.0,129,107,22,0,21.4,100.01,189,61,0,12.2,100.0,94,48,2,190.87,99.99,78,9,38,24,2,1.8,100.0,5,0,23,1,IBK기업은행
80,2018-02-22,KGC인삼공사,1,0,127,49,133,37,1,5,278.79,99.99,67,16,1,4,234.98,100.01,8,2,0,0,58.33,100.0,2,1,0,0,100.0,100.0,29,6,0,1,22.22,100.0,9,4,0,0,140.0,100.0,18,8,0,0,183.34,100.0,67,5,4,1.6700000000000002,100.02,111,91,20,0,33.5,99.98,142,35,1,15.5,99.99,64,28,5,145.41,99.99,63,7,30,19,1,2.33,100.0,6,0,11,4,한국도로공사
80,2018-02-22,한국도로공사,0,1,115,64,137,58,7,3,206.72,100.01,53,18,5,2,137.12,100.01,14,3,2,0,53.33,100.0,8,4,0,0,66.67,100.0,15,6,0,1,125.0,100.0,14,10,0,0,145.82999999999998,100.0,33,17,0,0,200.0,100.0,74,5,10,1.66,99.98,98,90,8,0,30.0,99.99,141,56,1,18.67,100.01,63,32,5,176.99,99.99,72,1,29,20,3,0.33,99.99,1,0,17,2,KGC인삼공사
81,2018-02-24,GS칼텍스,1,1,126,57,103,44,4,7,210.6,100.01,44,17,1,2,123.77,99.99,3,0,2,0,0.0,99.99,0,0,0,0,0.0,0.0,22,9,0,3,45.0,100.0,9,5,0,0,110.0,100.0,25,13,1,2,173.32999999999998,100.0,73,4,5,1.32,100.01,80,63,16,1,20.99,100.0,108,44,4,15.17,100.01,55,21,3,197.46,100.0,37,9,15,6,1,3.0,99.99,8,0,18,0,흥국생명
81,2018-02-24,흥국생명,0,0,159,45,105,38,9,7,254.02,100.0,63,22,7,3,226.18,100.01,2,1,1,0,50.0,100.0,3,3,0,0,200.0,100.0,13,4,0,3,61.9,100.0,10,2,0,1,33.33,100.0,14,6,1,0,148.32999999999998,100.0,65,3,10,0.99,99.99,62,53,9,0,19.67,100.01,105,36,0,13.99,99.99,68,30,4,155.39,99.99,42,4,13,19,1,1.32,100.0,4,0,18,1,GS칼텍스
82,2018-02-25,IBK기업은행,1,1,84,56,108,44,4,5,265.82,100.01,50,17,1,4,222.22,100.0,4,2,0,0,100.0,100.0,4,0,0,0,0.0,100.0,17,6,1,0,83.33,100.0,9,5,0,1,116.67,100.0,24,14,2,0,273.8,100.0,74,6,6,2.0,100.0,86,75,11,0,26.33,100.02,109,42,3,18.66,99.99,46,22,4,180.1,99.99,47,6,22,9,0,2.0,100.0,5,0,14,3,현대건설
82,2018-02-25,현대건설,0,0,121,40,114,32,6,7,182.24,100.0,58,13,4,2,91.38,99.99,6,3,0,0,50.0,100.0,0,0,0,0,0.0,0.0,13,4,0,4,59.53,100.0,13,5,0,0,69.44,100.0,24,7,2,1,98.61,100.0,55,4,9,1.33,100.01,72,62,10,0,21.66,100.0,119,31,2,10.33,99.99,68,35,6,261.12,100.0,48,4,19,16,1,1.33,100.01,3,0,19,5,IBK기업은행
83,2018-02-28,한국도로공사,0,1,118,52,105,38,5,7,284.42,100.01,43,10,3,5,71.58,100.0,5,1,1,0,33.33,100.0,14,8,0,0,202.86,100.0,5,2,0,0,83.33,100.0,12,5,0,1,77.14,100.0,26,12,1,1,338.1,100.01,74,8,10,2.66,99.99,72,66,5,1,22.0,100.02,106,38,1,12.66,100.0,49,27,3,157.39,99.99,45,6,18,11,1,1.99,100.0,6,0,20,2,현대건설
83,2018-02-28,현대건설,1,0,121,34,99,26,6,12,125.77,99.99,58,15,6,6,101.97,100.0,9,2,0,0,50.0,99.99,1,0,0,0,0.0,100.0,9,2,0,3,33.33,100.0,12,3,0,2,54.29,100.0,10,4,0,1,100.0,100.0,55,3,6,0.99,100.0,71,59,12,0,20.5,100.0,112,23,2,7.66,99.99,63,24,8,158.04,100.0,56,5,26,18,2,1.67,100.01,5,0,22,5,한국도로공사
84,2018-03-01,GS칼텍스,0,1,120,74,134,57,5,4,189.01,100.0,55,18,1,2,195.68,100.0,11,6,1,0,112.5,100.0,0,0,0,0,0.0,0.0,32,15,2,2,46.88,100.0,18,9,1,0,86.66,100.0,18,9,0,0,135.0,100.0,94,7,6,1.75,100.01,97,78,19,0,20.17,100.0,135,54,2,15.75,100.0,70,29,2,109.13,100.01,70,10,23,17,3,2.5,100.0,5,0,15,0,KGC인삼공사
84,2018-03-01,KGC인삼공사,1,0,90,62,154,55,10,13,244.84,100.0,95,35,5,7,237.88,100.01,7,1,1,0,50.0,100.01,1,0,1,0,0.0,100.0,32,11,1,6,36.67,100.01,6,4,1,0,200.0,100.0,13,4,1,0,91.67,100.0,78,2,8,0.5,100.0,103,85,18,0,22.0,99.99,161,52,0,13.0,99.99,88,36,7,99.34,100.0,65,5,30,22,0,1.25,100.0,2,0,21,4,GS칼텍스
85,2018-03-03,한국도로공사,1,1,133,56,99,42,4,4,254.06,99.99,46,17,1,3,264.67,100.0,7,3,0,0,75.0,100.0,3,2,0,0,150.0,100.0,10,5,0,1,62.5,100.0,12,8,1,0,133.34,100.0,21,7,2,0,69.03999999999999,100.0,74,7,7,2.33,99.99,76,65,11,0,21.84,100.02,103,40,1,13.32,99.99,49,29,2,115.61,100.0,61,7,25,19,0,2.33,100.0,6,0,12,2,흥국생명
85,2018-03-03,흥국생명,0,0,114,44,116,38,7,8,155.31,99.99,62,18,3,5,126.6,100.01,8,3,0,0,133.32999999999998,100.0,0,0,0,0,0.0,0.0,20,5,3,3,45.24,100.0,8,2,0,0,40.0,100.0,18,10,1,0,107.5,100.0,57,2,8,0.66,99.99,73,62,11,0,20.67,100.01,116,37,2,12.33,100.0,67,29,7,123.44,100.0,46,4,17,18,1,1.32,99.98,4,0,19,1,한국도로공사
86,2018-03-04,KGC인삼공사,0,1,90,80,168,63,13,10,234.48,100.01,85,34,7,7,175.63,100.0,11,4,1,0,250.0,99.99,5,0,0,2,0.0,100.0,33,14,2,1,43.75,100.0,8,2,0,0,66.66,100.0,26,9,3,0,206.11,100.0,105,8,8,1.65,100.0,111,89,22,0,18.15,100.0,175,62,1,13.3,100.0,98,49,4,313.29,100.0,79,9,31,23,0,2.23,100.0,7,0,19,4,현대건설
86,2018-03-04,현대건설,1,0,128,85,172,68,9,16,241.83,100.0,64,16,6,6,168.75,100.01,26,16,0,2,168.42000000000002,100.01,3,0,0,0,0.0,100.0,22,13,0,2,102.08,100.0,20,11,0,2,110.0,100.0,37,12,3,4,131.72,100.01,104,4,6,0.8,99.99,110,95,15,0,22.1,100.0,174,66,3,14.0,99.99,97,39,8,155.09,99.99,81,13,25,27,0,2.7,99.98,11,0,25,5,KGC인삼공사
87,2018-03-06,GS칼텍스,1,0,105,75,153,55,9,13,219.32,99.99,64,22,4,8,219.05,100.0,1,0,0,1,0.0,100.0,1,0,0,0,0.0,100.0,31,8,3,1,50.93,100.0,15,5,2,1,91.67,100.0,41,20,0,2,154.17000000000002,99.99,92,9,11,2.33,100.01,96,84,12,0,21.92,100.02,161,51,6,14.67,99.98,88,37,2,254.55,100.0,63,11,24,23,0,2.75,99.99,8,0,30,0,IBK기업은행
87,2018-03-06,IBK기업은행,0,1,109,67,140,56,11,7,234.68,100.0,70,23,7,2,206.61,100.01,11,4,0,2,100.0,100.0,5,1,0,0,33.33,100.0,24,12,2,1,50.0,100.0,8,3,0,0,83.33,100.0,22,13,2,2,224.6,100.01,96,2,8,0.5,100.01,98,81,17,0,23.0,99.99,144,53,1,15.83,99.99,81,26,9,96.93,100.0,70,9,33,15,0,2.25,100.0,6,0,16,3,GS칼텍스
88,2018-03-10,GS칼텍스,0,1,157,58,102,44,8,6,395.09,99.99,57,20,4,4,310.39,99.99,4,4,0,0,200.0,100.0,0,0,0,0,0.0,0.0,16,9,1,2,150.0,100.0,8,3,1,0,100.0,100.0,17,8,2,0,233.34,99.99,73,4,10,2.16,100.01,74,63,11,0,25.01,99.98,111,42,1,20.66,99.99,56,19,3,237.58,100.01,55,10,21,13,0,3.67,100.01,4,0,17,0,한국도로공사
88,2018-03-10,한국도로공사,1,0,110,41,102,30,10,8,235.72,99.99,40,10,4,3,214.58,100.0,7,2,0,0,150.0,100.0,5,4,1,0,175.0,100.0,7,2,1,1,33.33,100.0,7,1,0,2,33.33,100.0,36,11,4,2,97.5,100.0,60,3,4,1.0,100.01,67,53,13,1,17.67,100.02,105,29,4,9.66,99.99,63,27,4,204.24,100.0,55,8,17,19,0,2.66,99.99,8,0,17,2,GS칼텍스
89,2018-03-11,IBK기업은행,1,1,85,58,113,46,3,4,240.89,99.99,64,21,3,3,266.17,100.0,10,7,0,0,183.33,100.0,7,3,0,0,83.33,100.0,11,6,0,0,104.76,100.0,7,2,0,0,70.0,100.0,14,7,0,1,205.0,100.0,73,4,6,1.32,100.01,84,72,11,1,24.0,100.0,114,46,1,15.49,100.0,50,24,1,137.88,100.0,62,8,26,11,1,2.67,99.99,7,0,13,3,KGC인삼공사
89,2018-03-11,KGC인삼공사,0,0,107,41,124,37,8,9,268.42,100.0,70,24,5,3,212.37,100.01,9,5,0,0,266.67,99.99,4,1,0,0,33.33,100.0,22,2,2,5,24.360000000000003,100.0,5,2,0,1,66.67,100.0,14,3,1,0,133.32999999999998,100.01,56,1,6,0.33,100.0,91,76,15,0,29.16,100.01,133,37,2,16.5,99.99,67,29,4,204.18,99.99,43,3,20,13,0,1.33,100.0,3,0,17,4,IBK기업은행
90,2018-03-13,현대건설,0,0,128,78,184,65,11,13,252.63,100.01,98,24,5,8,221.82,99.99,34,19,1,3,399.04,99.99,0,0,0,0,0.0,0.0,17,5,0,2,53.03,100.0,19,12,2,0,122.73,100.0,16,5,3,0,75.0,100.0,105,6,6,1.33,100.0,143,122,21,0,26.95,100.0,199,62,3,12.4,100.01,97,35,7,93.61,100.0,82,7,29,24,2,1.4500000000000002,100.01,6,0,24,5,흥국생명
90,2018-03-13,흥국생명,1,1,158,82,193,64,7,15,183.64,100.0,122,40,4,11,126.59,100.0,7,3,0,0,60.0,100.0,6,4,0,0,66.67,100.0,30,7,1,4,66.67,100.0,10,2,1,0,45.0,100.0,18,8,1,0,158.32999999999998,99.99,106,7,9,1.4,99.99,128,111,17,0,25.0,100.01,196,60,2,14.5,99.99,99,45,6,374.73,100.0,83,11,27,20,1,2.25,100.0,9,0,27,1,현대건설
91,2018-03-17,IBK기업은행,1,1,84,56,112,46,6,8,218.35,99.99,57,20,4,4,182.71,99.99,8,3,1,1,73.33,100.0,8,5,1,0,126.67,100.0,18,8,0,3,141.18,100.0,7,4,0,0,116.67,100.0,14,6,0,0,180.0,100.0,73,4,8,1.5,100.01,82,70,12,0,24.5,100.0,114,43,2,20.33,99.98,51,21,4,112.16,100.0,44,6,26,9,0,2.0,100.01,5,0,18,3,현대건설
91,2018-03-17,현대건설,0,0,128,38,99,28,6,11,210.36,99.99,47,11,2,6,152.42000000000002,100.0,12,4,0,3,116.67,100.0,0,0,0,0,0.0,0.0,13,5,1,1,76.19,100.0,9,1,1,0,25.0,100.0,18,7,2,1,170.82999999999998,100.0,58,4,7,1.33,100.02,69,53,16,0,20.99,99.99,102,26,0,8.65,99.99,65,21,4,108.12,100.0,42,6,18,11,1,1.99,100.0,4,0,19,5,IBK기업은행
92,2018-03-19,IBK기업은행,0,0,99,69,164,53,10,16,188.15,100.0,95,31,7,8,186.78,100.0,12,5,1,0,144.44,99.99,5,1,0,0,33.33,100.0,27,9,2,7,36.0,99.99,5,1,0,0,33.33,100.0,20,6,0,1,164.29,100.0,95,6,7,1.5,100.01,106,93,12,1,23.25,100.0,167,48,0,12.0,99.99,87,29,9,137.32,100.0,71,10,28,19,3,2.5,100.01,9,0,27,3,현대건설
92,2018-03-19,현대건설,1,1,109,69,161,50,10,15,225.38,99.99,81,24,4,8,228.45,100.01,16,7,2,1,206.67,100.0,2,1,0,0,50.0,100.0,26,5,2,2,19.23,100.0,10,4,0,1,75.0,100.0,26,9,2,3,141.67000000000002,100.01,95,9,8,2.25,99.98,111,95,16,0,23.75,100.01,168,48,1,12.0,100.02,88,30,6,118.75,100.0,77,10,34,20,1,2.5,100.01,8,0,25,5,IBK기업은행
93,2018-03-21,IBK기업은행,1,1,84,63,123,50,6,8,179.57999999999998,99.99,61,22,6,2,155.4,100.01,10,8,0,0,88.89,100.0,6,1,0,2,25.0,100.0,21,6,0,2,28.57,100.0,2,1,0,0,100.0,100.0,23,12,0,2,145.82999999999998,100.01,75,7,9,2.5,100.0,94,82,12,0,28.67,100.01,130,46,1,16.16,100.01,55,25,3,106.91,100.0,57,6,32,10,0,2.01,99.99,5,0,18,3,현대건설
93,2018-03-21,현대건설,0,0,109,42,117,33,6,5,136.28,99.99,51,15,3,1,135.55,99.99,17,5,1,3,210.0,99.98,0,0,0,0,0.0,0.0,12,2,0,1,16.67,100.0,13,5,0,0,76.19,100.0,24,6,2,0,90.4,100.0,61,3,6,0.99,99.99,88,72,16,0,23.99,100.01,123,32,2,10.66,100.01,66,25,7,134.9,100.0,46,6,16,14,0,1.99,100.0,6,0,13,5,IBK기업은행
94,2018-03-23,IBK기업은행,0,0,104,84,185,73,8,15,265.79,99.98,111,43,3,12,276.88,100.0,6,1,0,0,100.0,100.0,3,1,0,0,50.0,100.0,36,15,4,1,82.31,100.0,6,3,1,1,150.0,100.01,23,10,0,1,173.81,100.0,108,4,7,0.8500000000000001,100.01,117,100,17,0,22.6,100.01,191,69,1,16.75,100.0,102,45,4,218.27,100.0,91,7,40,28,5,1.4500000000000002,100.01,6,0,28,3,한국도로공사
94,2018-03-23,한국도로공사,1,1,123,85,178,73,7,10,244.1,99.99,99,44,6,4,213.25,99.99,12,4,0,1,99.99,100.0,7,2,0,0,50.0,100.0,14,5,1,1,83.33,100.0,14,7,0,0,100.0,100.0,32,11,0,4,165.18,100.01,113,4,11,0.8,99.98,109,93,16,0,18.95,100.01,177,67,1,13.5,99.99,101,40,4,89.88,100.0,83,8,21,31,2,1.6,99.99,7,0,24,2,IBK기업은행
95,2018-03-25,IBK기업은행,0,0,104,69,140,59,9,10,245.29,100.0,72,28,5,5,221.9,100.0,8,6,0,1,171.43,100.0,9,5,1,0,105.0,100.0,25,8,1,1,36.36,100.0,6,3,0,1,100.0,100.0,20,9,2,2,198.33,100.0,83,2,5,0.5,99.99,91,71,20,0,18.58,99.99,148,57,2,18.33,100.01,86,39,5,135.8,100.0,70,8,25,19,2,2.0,100.0,8,0,19,3,한국도로공사
95,2018-03-25,한국도로공사,1,1,119,76,149,62,8,4,209.81,100.0,74,29,4,3,144.48000000000002,100.0,9,3,1,0,200.0,100.0,12,6,0,0,100.0,100.0,14,4,1,1,57.15,100.0,9,3,1,0,42.86,100.0,31,17,1,0,180.71,100.0,94,5,8,1.25,100.0,103,82,21,0,20.5,100.0,150,58,1,14.58,100.01,78,47,2,270.91,100.0,63,9,26,22,0,2.25,100.01,7,0,13,2,IBK기업은행
96,2018-03-27,IBK기업은행,1,0,105,61,149,52,9,12,171.07,100.0,94,32,6,6,121.03,100.0,6,2,0,0,66.66,100.0,4,1,1,0,33.33,100.0,24,7,2,5,141.66,100.0,9,5,0,0,107.14,100.0,12,5,0,1,110.0,100.0,78,3,3,0.75,99.98,93,75,18,0,18.75,100.01,150,50,1,13.25,100.0,88,31,7,125.84,100.0,67,6,25,21,1,1.5,100.0,4,0,17,3,한국도로공사
96,2018-03-27,한국도로공사,0,1,123,79,139,63,6,5,303.3,100.01,70,24,3,1,284.14,99.99,8,4,0,0,133.32999999999998,100.0,8,5,0,1,126.67,100.0,15,6,1,3,86.36,100.0,15,8,2,0,108.93,100.0,23,16,0,0,226.37,99.99,96,7,7,2.5,100.0,102,85,15,2,22.83,100.0,141,59,2,14.83,100.02,75,33,3,125.0,99.99,70,9,24,25,0,3.0,100.0,8,0,16,2,IBK기업은행
97,2018-10-22,IBK기업은행,0,1,132,90,175,83,7,7,324.06,99.99,82,34,3,4,275.34000000000003,100.0,7,4,1,0,200.0,100.0,4,2,1,0,66.67,100.0,22,7,1,0,31.82,100.0,8,4,0,1,93.33,100.0,52,32,1,2,271.33,100.01,111,1,9,0.2,100.0,114,95,19,0,22.15,100.0,177,78,3,19.15,99.99,97,42,6,151.05,100.01,84,6,32,25,5,1.2,100.0,3,0,24,3,한국도로공사
97,2018-10-22,한국도로공사,1,0,141,83,178,70,6,10,310.72,100.01,65,16,1,6,212.85,100.01,14,10,0,0,380.0,100.0,6,3,0,0,60.0,100.0,29,15,0,2,152.94,100.0,10,3,1,0,42.86,100.0,54,23,4,2,280.27,100.0,107,6,9,1.2,99.99,118,95,23,0,19.05,100.0,182,69,1,14.6,100.01,102,57,1,366.24,100.0,69,7,25,28,0,1.53,100.01,3,0,20,2,IBK기업은행
98,2018-10-23,GS칼텍스,1,1,115,77,128,57,8,4,299.28,100.01,64,29,4,2,315.0,100.01,6,3,0,0,75.0,100.0,0,0,0,0,0.0,0.0,10,3,1,1,83.33,100.0,18,8,1,0,133.32999999999998,100.0,30,14,2,1,143.41,100.0,94,8,13,2.0,100.01,85,72,13,0,18.75,100.01,132,53,1,13.25,100.02,71,27,2,146.54,100.0,53,12,16,17,0,3.0,99.99,9,0,18,0,현대건설
98,2018-10-23,현대건설,0,0,122,59,119,49,12,6,241.61,99.99,67,25,7,4,175.17,100.0,4,1,0,0,100.0,100.0,1,0,0,0,0.0,100.0,6,2,2,1,120.0,100.0,15,8,0,1,108.33,100.0,26,13,3,0,167.14,99.99,78,2,6,0.5,100.0,81,66,14,1,18.0,100.0,130,45,3,11.5,100.0,81,27,8,92.97,99.99,71,8,28,21,1,2.25,100.0,7,0,17,5,GS칼텍스
99,2018-10-24,KGC인삼공사,0,0,92,66,161,51,11,10,197.16,99.99,82,28,3,6,199.98,100.01,8,3,0,1,183.33,100.0,1,0,0,0,0.0,100.0,31,8,6,1,26.67,100.0,5,2,1,0,100.0,100.0,34,10,1,2,102.85,100.0,86,4,5,1.0,100.0,128,96,32,0,26.0,100.0,171,48,3,14.0,99.98,90,49,2,364.02,99.99,63,11,26,18,0,3.0,100.01,9,0,18,4,흥국생명
99,2018-10-24,흥국생명,1,1,119,80,173,67,11,10,272.45,100.0,80,26,10,5,212.29,100.0,10,5,1,0,283.33,100.0,2,1,0,0,100.0,100.0,23,9,0,1,56.25,100.01,18,7,0,1,89.61000000000001,100.0,40,19,0,3,255.77,100.0,98,2,7,0.5,100.0,117,103,14,0,25.83,99.99,169,64,1,16.75,100.0,81,42,4,317.53,99.99,69,11,30,17,1,2.75,99.98,9,0,19,1,KGC인삼공사
100,2018-10-25,IBK기업은행,1,1,104,59,87,43,3,3,316.77,100.0,40,17,1,2,185.47,100.0,11,6,0,0,225.0,99.99,2,1,0,1,100.0,100.0,5,1,0,0,20.0,100.0,6,2,0,0,66.66,100.0,23,16,2,0,322.12,100.0,73,6,6,2.16,100.01,58,50,8,0,16.68,99.99,91,41,1,13.83,100.02,47,18,3,132.55,100.0,34,10,11,10,0,3.3400000000000003,100.0,9,0,10,3,현대건설
100,2018-10-25,현대건설,0,0,95,40,87,34,10,7,234.37,100.0,42,17,4,4,219.85,100.0,4,2,1,0,150.0,100.0,2,0,1,0,0.0,100.0,10,2,1,2,28.57,100.0,11,7,1,0,121.43,100.0,18,6,2,1,117.86,100.0,52,3,5,1.0,99.99,49,41,8,0,14.16,100.0,97,33,2,10.99,100.0,67,16,6,79.89,100.0,33,3,11,14,2,1.0,99.99,3,0,16,5,IBK기업은행
101,2018-10-26,GS칼텍스,1,1,112,65,117,50,5,11,338.67,100.01,59,22,5,6,196.1,99.99,5,1,0,0,100.0,100.0,2,2,0,0,200.0,100.0,19,9,0,4,128.85,100.0,8,4,0,0,100.0,100.0,24,12,0,1,156.67000000000002,100.0,78,6,4,2.0,100.0,84,70,14,0,23.67,100.0,124,46,1,15.34,100.01,65,35,5,174.37,100.0,54,9,21,13,0,3.0,99.99,7,0,16,0,흥국생명
101,2018-10-26,흥국생명,0,0,137,54,129,44,9,7,299.05,100.0,76,24,4,5,356.31,100.01,3,1,1,0,50.0,100.0,1,0,0,0,0.0,100.0,18,7,1,1,84.41,100.0,8,4,0,0,66.67,100.0,23,8,3,1,120.0,100.0,71,5,6,1.66,100.02,82,68,14,0,23.5,100.02,126,40,0,16.67,100.01,74,24,6,85.13,100.0,53,5,24,16,1,1.83,100.0,5,0,14,1,GS칼텍스
102,2018-10-27,KGC인삼공사,1,1,110,71,137,53,7,9,388.3,100.01,73,24,3,5,254.39,100.01,12,7,1,0,333.33,100.0,0,0,0,0,0.0,0.0,18,6,2,1,129.41,100.0,13,8,0,0,130.56,100.0,21,8,1,3,75.0,100.0,96,5,6,1.25,100.0,93,79,13,1,19.75,100.01,141,51,1,12.75,100.0,69,32,1,158.97,100.0,72,13,25,20,2,4.0,100.0,9,0,19,4,한국도로공사
102,2018-10-27,한국도로공사,0,0,126,59,154,51,13,14,318.78,100.01,64,17,7,3,274.42,100.01,12,6,0,4,216.67,100.0,3,1,0,0,33.33,100.0,34,11,2,5,93.75,99.99,10,1,1,1,14.29,100.0,31,15,3,1,336.97,100.0,79,1,10,0.25,100.0,91,82,9,0,20.92,100.0,156,47,1,15.25,100.01,90,42,5,177.14,99.99,61,7,29,20,1,1.75,99.99,7,0,26,2,KGC인삼공사
103,2018-10-28,현대건설,0,0,89,47,118,36,7,9,150.37,99.99,71,19,5,5,138.33,100.01,8,3,0,0,75.0,100.0,0,0,0,0,0.0,0.0,12,3,1,1,37.5,100.0,9,4,0,0,92.86,100.0,18,7,1,3,131.11,100.01,69,4,10,1.33,99.98,81,74,7,0,24.66,100.01,128,34,1,11.33,100.01,66,27,4,193.82,100.01,52,7,21,17,1,2.33,99.99,7,0,21,5,흥국생명
103,2018-10-28,흥국생명,1,1,137,54,124,43,7,12,182.57,100.0,61,19,4,5,194.48,100.0,4,1,0,1,100.0,100.0,5,1,0,1,50.0,100.0,15,6,0,1,77.77,100.0,11,2,2,1,64.28999999999999,100.0,28,14,1,3,131.99,100.01,74,4,8,1.32,99.99,87,74,12,1,28.17,100.0,120,39,0,17.66,100.0,59,31,4,157.43,99.99,53,7,27,10,0,2.34,100.0,5,0,21,1,현대건설
104,2018-10-29,GS칼텍스,1,1,108,54,85,37,3,4,289.76,100.0,39,20,1,1,329.28000000000003,99.99,1,1,0,0,100.0,100.0,0,0,0,0,0.0,0.0,11,2,0,1,20.0,100.0,13,3,0,0,27.27,100.0,21,11,2,2,144.87,99.99,74,8,6,2.8200000000000003,99.98,64,57,7,0,21.66,100.01,92,34,2,13.33,100.0,46,14,6,59.44,99.99,55,9,20,12,0,3.01,100.0,6,0,12,0,한국도로공사
104,2018-10-29,한국도로공사,0,0,129,41,116,32,9,12,245.5,100.01,47,12,3,8,242.77,100.0,2,2,0,0,200.0,100.0,3,0,2,0,0.0,100.0,20,5,1,2,62.5,100.0,10,7,0,1,138.10000000000002,100.0,34,6,3,1,72.22,99.99,54,6,8,2.17,99.99,73,63,10,0,22.67,100.01,118,31,0,12.67,99.99,67,31,8,120.99,100.01000000000002,30,3,11,12,0,1.16,100.01,3,0,20,2,GS칼텍스
105,2018-10-31,GS칼텍스,1,0,140,55,137,49,12,7,185.53,100.01,75,23,8,3,91.96,100.0,2,1,0,0,100.0,100.0,1,0,0,0,0.0,100.0,18,8,1,1,141.18,100.0,11,3,2,1,61.9,100.0,30,14,1,2,170.36,100.0,72,1,6,0.25,100.01,81,65,16,0,18.17,99.97,145,49,4,12.75,100.01,91,35,7,118.34,100.01,72,5,23,28,0,1.33,100.0,3,0,17,0,KGC인삼공사
105,2018-10-31,KGC인삼공사,0,1,111,80,135,61,5,8,442.57,100.0,60,28,2,4,218.33,100.01,10,2,1,0,75.0,100.0,0,0,0,0,0.0,0.0,21,9,1,3,45.0,100.0,13,7,0,0,265.0,99.99,31,15,1,1,330.36,100.0,97,7,5,1.83,99.98,92,81,11,0,21.99,100.0,137,61,1,15.42,100.0,65,33,1,239.1,100.0,77,12,27,28,1,3.25,100.01,10,0,15,4,GS칼텍스
106,2018-10-31,한국도로공사,0,1,122,91,209,75,11,14,321.42,100.01,112,34,4,8,301.08000000000004,100.01,7,2,0,0,150.0,100.01,12,6,2,1,100.0,100.0,16,1,1,4,9.09,100.0,14,6,0,1,75.56,100.0,48,26,4,0,152.79000000000002,100.01,114,4,6,0.9,100.0,146,127,19,0,26.4,99.98,213,69,0,14.25,100.02,108,47,6,209.49,100.0,98,12,34,28,1,2.4,99.99,8,0,21,2,현대건설
106,2018-10-31,현대건설,1,0,106,91,218,74,12,12,181.54,100.01,157,55,11,9,175.64,100.01,4,0,0,0,0.0,100.0,0,0,0,0,0.0,0.0,17,4,1,0,28.57,100.0,13,7,0,1,105.56,100.0,27,8,0,2,50.0,100.0,114,6,5,1.2,99.98,140,124,16,0,24.8,100.01,219,69,2,13.8,100.0,108,40,4,142.75,100.0,99,11,41,24,5,2.2,99.99,8,0,24,5,한국도로공사
