,index,경기번호,팀명,결과,No.,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,홈_어웨이,팀코드
42,42,22,GS칼텍스,1,129,83,167,72,9,7,317.45,100.0,85,30,5,4,263.03,100.0,7,5,0,0,250.0,100.0,0,0,0,0,0.0,0.0,34,13,3,2,136.36,100.0,12,7,1,1,150.0,100.0,29,17,0,0,285.08,100.0,111,3,11,0.73,100.01,103,84,19,0,18.450000000000003,99.98,168,69,3,14.729999999999999,100.02,99,43,5,9.8,99.99000000000001,83,8,25,34,2,1.86,100.0,7,0,23,1,0
43,43,22,IBK기업은행,0,129,86,168,72,8,10,369.31,100.01,92,36,7,5,268.64,99.99,9,5,0,1,166.67000000000002,99.99,8,2,0,0,66.67,100.0,25,13,0,1,95.0,100.0,9,5,0,1,157.14,100.0,25,11,1,2,177.26999999999998,100.0,109,5,10,1.0,99.99000000000001,115,87,26,2,20.7,100.0,169,70,2,15.429999999999998,100.0,100,40,3,8.75,100.0,66,9,27,16,4,1.8,100.01,9,0,28,0,3
44,44,23,KGC인삼공사,0,81,76,184,62,13,10,236.2,100.0,113,33,9,8,214.12,99.98,11,5,0,0,94.44,100.0,4,2,0,0,50.0,100.0,30,13,1,1,43.33,100.0,6,1,0,0,20.0,100.0,20,8,3,1,203.32999999999998,100.0,101,4,11,0.95,99.99,143,126,17,0,28.1,100.01,191,56,4,13.65,100.0,90,21,7,3.55,99.99,79,10,32,22,0,2.1,100.00999999999999,8,0,25,1,4
45,45,23,한국도로공사,1,133,79,188,59,10,10,190.68,99.99,93,25,5,6,129.54,100.00999999999999,20,10,0,0,245.45,100.0,5,0,1,1,0.0,100.0,19,5,0,1,59.09,100.0,14,6,2,0,75.56,100.0,37,13,2,2,127.83,100.02000000000001,103,7,13,1.4,99.99000000000001,135,117,18,0,24.0,100.01,190,56,0,11.2,100.01,90,42,4,8.100000000000001,100.0,87,13,32,24,1,2.6,100.0,13,0,24,0,2
46,46,24,현대건설,1,102,63,105,48,3,3,280.03,100.00999999999999,49,18,1,2,205.43,100.0,10,3,0,0,133.32999999999998,100.0,3,2,0,0,150.0,100.0,11,5,1,1,94.44,100.0,14,8,0,0,106.67,100.0,18,12,1,0,183.32999999999998,100.0,73,3,7,0.99,100.01,67,58,8,1,19.32,100.02,106,43,1,14.33,100.0,59,28,3,8.33,100.0,66,12,16,20,0,4.0,100.0,6,0,12,1,5
47,47,24,흥국생명,0,124,47,123,41,12,7,224.57999999999998,100.01,47,12,2,3,104.52,100.0,11,4,1,0,125.0,99.99,10,3,3,1,65.0,100.0,11,5,0,2,82.14,100.0,11,2,2,1,40.0,99.99000000000001,33,15,4,0,222.62,99.99,61,3,2,0.99,100.0,87,70,17,0,24.0,100.0,128,40,0,13.33,99.99000000000001,66,43,3,13.33,99.99,31,3,13,7,3,1.17,100.00999999999999,2,0,12,0,1
48,48,25,GS칼텍스,0,137,60,143,50,14,10,265.54,100.02,66,25,5,3,254.86,100.01,2,0,1,1,0.0,100.0,0,0,0,0,0.0,0.0,20,4,4,2,67.65,100.0,18,7,1,0,112.86,100.0,37,14,3,4,118.27,100.0,82,6,6,1.58,100.01,89,73,15,1,19.0,100.02,144,49,0,12.58,100.0,82,35,5,8.0,100.0,53,4,21,15,1,1.0,100.0,3,0,18,1,0
49,49,25,한국도로공사,1,129,76,129,57,4,6,260.65,100.0,55,20,1,4,188.78,100.02,21,15,1,0,390.0,100.0,7,2,1,0,50.0,100.0,7,4,1,0,116.67,100.0,8,3,0,0,75.0,100.0,31,13,0,2,130.47,100.00999999999999,94,5,11,1.25,100.0,85,73,11,1,19.08,100.01,132,55,2,13.75,100.01,76,40,6,8.75,100.0,60,14,19,13,1,3.5,100.0,12,0,21,0,2
50,50,26,IBK기업은행,0,114,39,104,32,12,4,146.92,100.0,40,13,6,2,108.18,100.0,7,4,0,0,250.0,100.00999999999999,7,4,1,0,150.0,100.0,25,6,4,1,48.08,100.0,7,0,0,1,0.0,100.00999999999999,18,5,1,0,113.33,100.01,53,5,6,1.83,99.98,62,49,13,0,18.33,100.0,111,32,0,13.0,99.99,67,30,4,8.66,100.0,44,2,19,16,1,0.66,100.01,1,0,11,1,3
51,51,26,현대건설,1,97,64,97,48,2,4,289.94,100.0,47,25,1,2,238.57,100.0,7,2,0,0,120.0,100.01,1,1,0,0,100.0,100.0,12,4,0,1,44.44,100.0,13,9,1,1,138.10000000000002,100.0,17,7,0,0,123.33,99.99,73,4,6,1.32,100.01,71,62,9,0,20.68,100.01,97,45,1,15.0,99.99,47,16,5,4.0,100.00999999999999,51,12,16,15,1,4.0,100.0,8,0,12,0,5
